Date,MSFT,GOOGL,TSLA,NVDA,AMZN,AAPL,FB,GOOG
2018-01-02,86.12999725341797,52.6510009765625,20.799999237060547,48.94499969482422,58.59999847412109,42.540000915527344,,52.41699981689453
2018-01-03,86.05999755859375,53.69649887084961,21.399999618530277,51.025001525878906,59.415000915527344,43.13249969482422,,53.21549987792969
2018-01-04,86.58999633789062,54.85449981689453,20.857999801635746,53.93999862670898,60.25,43.1349983215332,,54.400001525878906
2018-01-05,87.66000366210938,55.17250061035156,21.107999801635746,53.54750061035156,60.8754997253418,43.36000061035156,,54.70000076293945
2018-01-08,88.19999694824219,55.54999923706055,21.06666755676269,55.09999847412109,61.79999923706055,43.587501525878906,,55.11149978637695
2018-01-09,88.6500015258789,55.922000885009766,22.3439998626709,55.55500030517578,62.845001220703125,43.63750076293945,,55.470001220703125
2018-01-10,87.86000061035156,55.34999847412109,22.14666748046875,54.54999923706055,62.25749969482422,43.290000915527344,,54.85499954223633
2018-01-11,88.12999725341797,55.615501403808594,22.34933280944824,56.25,62.98699951171875,43.647499084472656,,55.31499862670898
2018-01-12,88.66999816894531,55.505001068115234,22.57533264160156,55.900001525878906,63.66949844360352,44.04499816894531,,55.12049865722656
2018-01-16,90.0999984741211,57.01549911499024,22.502666473388672,56.01250076293945,66.1500015258789,44.47499847412109,,56.6254997253418
2018-01-17,89.08000183105469,56.81800079345703,22.697999954223636,55.17499923706055,65.61199951171875,44.03749847412109,,56.31100082397461
2018-01-18,89.80000305175781,56.96749877929688,23.044666290283203,55.98500061035156,64.69750213623047,44.84249877929688,,56.570499420166016
2018-01-19,90.13999938964844,56.9015007019043,23.0,57.022499084472656,65.5999984741211,44.65250015258789,,56.59149932861328
2018-01-22,90.0,57.19100189208984,23.293333053588867,57.60749816894531,64.8584976196289,44.32500076293945,,56.8745002746582
2018-01-23,91.9000015258789,58.53099822998047,24.0,58.962501525878906,66.90450286865234,44.32500076293945,,57.99250030517578
2018-01-24,92.5500030517578,59.249000549316406,23.6386661529541,59.7599983215332,68.74099731445312,44.3125,,58.86650085449219
2018-01-25,92.47000122070312,59.03549957275391,23.218000411987305,59.5,68.4000015258789,43.62749862670898,,58.62649917602539
2018-01-26,93.12000274658205,59.37649917602539,22.76666641235352,59.52999877929688,69.60050201416016,43.0,,58.75400161743164
2018-01-29,95.13999938964844,59.400001525878906,22.656667709350582,60.685001373291016,70.45899963378906,42.540000915527344,,58.82400131225586
2018-01-30,93.3000030517578,58.88600158691406,23.00933265686035,60.27750015258789,70.15850067138672,41.38249969482422,,58.39149856567383
2018-01-31,93.75,59.19049835205078,23.167333602905277,61.442501068115234,72.56500244140625,41.71749877929688,,58.52849960327149
2018-02-01,94.79000091552734,58.79949951171875,23.399999618530277,59.630001068115234,72.25,41.79249954223633,,58.13050079345703
2018-02-02,93.63999938964844,56.37099838256836,23.22933387756348,59.25,73.86949920654297,41.5,,56.09999847412109
2018-02-05,90.55999755859376,55.03049850463867,22.531333923339844,56.75,70.13099670410156,39.775001525878906,,54.52999877929688
2018-02-06,86.88999938964844,51.69900131225586,21.680667877197266,51.09999847412109,68.072998046875,38.70750045776367,,51.35900115966797
2018-02-07,90.48999786376952,54.24850082397461,22.59933280944824,57.39500045776367,72.44999694824219,40.772499084472656,,54.07699966430664
2018-02-08,89.70999908447266,52.993499755859375,22.88733291625977,58.470001220703125,71.48400115966797,40.0724983215332,,52.77050018310547
2018-02-09,86.30000305175781,51.29399871826172,21.32866668701172,59.5625,68.67449951171875,39.26750183105469,,50.86249923706055
2018-02-12,88.73999786376953,52.83349990844727,21.07533264160156,58.84000015258789,68.2334976196289,39.625,,52.400001525878906
2018-02-13,88.93000030517578,52.5,21.001333236694336,56.63999938964844,69.29650115966797,40.48749923706055,,52.25
2018-02-14,88.51000213623047,52.71599960327149,21.389333724975582,57.75,70.3125,40.7599983215332,,52.4474983215332
2018-02-15,91.20999908447266,54.17250061035156,21.63333320617676,61.1974983215332,73.34449768066406,42.4474983215332,,53.95349884033203
2018-02-16,92.4499969482422,54.66899871826172,22.166667938232425,61.34999847412109,72.86849975585938,43.09000015258789,,54.420501708984375
2018-02-20,91.4800033569336,54.63800048828125,22.29800033569336,61.1875,72.32450103759766,43.01250076293945,,54.52849960327149
2018-02-21,92.9800033569336,55.45500183105469,22.402000427246094,62.92250061035156,74.25,43.20750045776367,,55.32350158691406
2018-02-22,92.0500030517578,55.95849990844727,22.368667602539062,60.682498931884766,74.76799774169922,42.95000076293945,,55.80950164794922
2018-02-23,93.5999984741211,55.93299865722656,23.18866729736328,61.14250183105469,74.76699829101562,43.41749954223633,,55.63199996948242
2018-02-26,94.4000015258789,56.59299850463867,23.56666755676269,61.95000076293945,75.45999908447266,44.087501525878906,,56.38999938964844
2018-02-27,95.73999786376952,57.185001373291016,23.75,61.375,76.2249984741211,44.775001525878906,,57.0620002746582
2018-02-28,94.83999633789062,56.09999847412109,23.50466728210449,61.625,75.97550201416016,44.81499862670898,,56.1515007019043
2018-03-01,93.98999786376952,55.47700119018555,23.000667572021484,60.477500915527344,75.68000030517578,44.6349983215332,,55.39350128173828
2018-03-02,91.58000183105467,52.89899826049805,21.798667907714844,56.96500015258789,73.45500183105469,43.20000076293945,,52.65399932861328
2018-03-05,92.33999633789062,53.90650177001953,22.159332275390625,58.62749862670898,74.71199798583984,43.8025016784668,,53.75699996948242
